handle,vendor,type,status,live_media,local_assoc,local_files
balliu-tumbona-de-exterior-aluminio-36870d09,Balliu,Tumbona,ACTIVE,11,11,images_balliu/Etna-Tumbona-Balliu-2-800x614-1.png | images_balliu/Etna-Tumbona-Balliu-800x614-1.png | images_balliu/Etna-Tumbona-Balliu.png | images_balliu/Etna-blanca-amb-rodes.jpg | images_balliu/Etna-tumbona-Balliu-3-800x614-1.png | images_balliu/Etna-tumbona-Balliu-Aluminio-gris-800x614-1.png | images_balliu/balliu-etna-sunlounger-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu_tumbona-con-ruedas-olimpia.jpg | images_balliu/balliu_tumbona-de-aluminio-etna-alta.jpg | images_balliu/etna-tumbona-aluminio-800x614-1.jpg | images_balliu/etna-tumbona-blanco-800x614-1.jpg
balliu-tumbona-de-exterior-aluminio-d08586c1,Balliu,Tumbona,ACTIVE,7,7,images_balliu/Ambient-6-gran-1-scaled.jpg | images_balliu/Balliu_EtnaAlta_Alum-Gris2.jpg | images_balliu/Balliu_EtnaAlta_Blanco-blanco2.jpg | images_balliu/Balliu_EtnaAlta_Tortola-Arena2.jpg | images_balliu/Etna-alta-blanca-amb-rodes-1-1-2.jpg | images_balliu/balliu_tumbona-con-ruedas-olimpia.jpg | images_balliu/balliu_tumbona-de-aluminio-etna-alta.jpg
balliu-tumbona-de-exterior-con-ruedas-aluminio-58-cm-9064b7b9,Balliu,Tumbona,ACTIVE,7,6,images_balliu/Balliu_Iris_blanco_Blanco2.jpg | images_balliu/Iris-Balliu-800x614-1.png | images_balliu/Iris-Balliu2-800x614-1.png | images_balliu/iris-blanco-blanco-07-00-800x614-1.jpg | images_balliu/tumbona-iris-aluminio-3800-001.webp | images_balliu/tumbona-iris-blanco-0700-ambiente-011-scaled.jpg
balliu-tumbona-de-exterior-aluminio-68-cm-f7ab4da8,Balliu,Tumbona,ACTIVE,9,8,images_balliu/Balliu_Marina_blanco-ceniza2.jpg | images_balliu/Balliu_Marina_blanco-ceniza_PISCINA2.jpg | images_balliu/Balliu_Marina_blanco-ceniza_sin-fondo2.jpg | images_balliu/Marina-tumbona-Balliu-800x614-1.png | images_balliu/Respaldo-reclinable_Marina_Balliu2.jpg | images_balliu/marina-tumbona-blanco-blanco-800x614-2.jpg | images_balliu/marina-tumbona-blanco-blanco-apilable-800x614-2.jpg | images_balliu/marina-tumbona-blanco-ceniza-800x614-2.jpg
balliu-tumbona-de-exterior-20620134,Balliu,Tumbona,DRAFT,0,0,
balliu-mini-tumbona-de-exterior-aluminio-62-cm-5a6f53eb,Balliu,Mini tumbona,ACTIVE,8,7,images_balliu/Balliu-5311-by-mCFalkyphoto-TpSze-Edit.jpg | images_balliu/IMG_1680.jpg | images_balliu/mini-tumbona-cannes-aluminio-5000-001.jpg | images_balliu/mini-tumbona-cannes-aluminio-oscuro-3800-001-png.png | images_balliu/mini-tumbona-cannes-blanco-0700-001.jpg | images_balliu/mini-tumbona-cannes-blanco-3800-001.jpg | images_balliu/mini-tumbona-cannes-tortola-3000-001.jpg
balliu-mini-tumbona-de-exterior-madera-59-cm-fa211c70,Balliu,Mini tumbona,ACTIVE,6,5,images_balliu/119-BRISTOL.jpg | images_balliu/Balliu-5269-by-mCFalkyphoto-TpSze-1.jpg | images_balliu/MTU-BTM-Mini-Tumbona-Bristol-Tela-Natural_Pamela-0287-1.jpg | images_balliu/bristol-mini-tumbona-madera-0300-800x614-3.jpg | images_balliu/bristol_coixi-scaled.jpg
balliu-mini-tumbona-de-exterior-aluminio-57-cm-98ab84ce,Balliu,Mini tumbona,ACTIVE,4,3,images_balliu/MiniMarina-Balliu-800x614-1.png | images_balliu/marina-s-800x614-2.jpg | images_balliu/marina-s-apilable-800x614-1.jpg
balliu-cama-balinesa-exterior-aluminio-estilo-sofisticado-160-cm-2bd3a7a4,Balliu,Cama balinesa,ACTIVE,1,0,
balliu-cama-balinesa-exterior-aluminio-estilo-minimalista-198-cm-dcaf71d8,Balliu,Cama balinesa,ACTIVE,1,0,
